Mehdi Abouzaid,https://www.fashionmodeldirectory.com/models/mehdi_abouzaid/,Moroccan,NA,183.0,87.6,68.6,88.9,44,42,Brown,Brown
Lera Abova,https://www.fashionmodeldirectory.com/models/lera_abova/,Russian,NA,175.0,81.0,61.0,89.0,35,38.5,Brown,Green
Tatiana Abracos,https://www.fashionmodeldirectory.com/models/tatiana_abracos/,Brazilian,NA,180.0,81.0,63.5,91.5,34,42,Blonde,Hazel
Adrienne Ábrahám,https://www.fashionmodeldirectory.com/models/adrienne_%c3%81brah%c3%a1m/,Hungarian,NA,176.0,86.0,58.0,89.0,36,39,Dark brown,Brown
Maga Abramoff,https://www.fashionmodeldirectory.com/models/maga_abramoff/,Argentinian,NA,177.0,81.0,59.0,89.0,35,38,Brown,Blue
Lera Abramova,https://www.fashionmodeldirectory.com/models/lera_abramova/,Russian,NA,175.0,83.0,59.0,90.0,33,38,Brown,Blue
Nastya Abramova,https://www.fashionmodeldirectory.com/models/nastya_abramova/,Ukrainian,NA,177.0,83.0,60.0,89.0,34,39,Light brown,Blue
Yannick Abrath,https://www.fashionmodeldirectory.com/models/yannick_abrath/,Belgian,NA,187.0,92.0,71.0,90.0,50,43,Brown,Blue
Andrea Abrego,https://www.fashionmodeldirectory.com/models/andrea_abrego/,Argentinian,NA,178.0,76.0,56.0,84.0,34,42,Dark brown,Brown
Luma Abreu,https://www.fashionmodeldirectory.com/models/luma_abreu/,Brazilian,NA,177.0,94.0,78.5,114.0,38-40,39,Brown,Brown
Adiam Abrha,https://www.fashionmodeldirectory.com/models/adiam_abrha/,Swedish,NA,179.0,79.0,58.0,86.0,32-34,40,Brown,Brown
Megan Abrigo,https://www.fashionmodeldirectory.com/models/megan_abrigo/,American,NA,173.0,87.0,61.0,89.0,32,39,Brown,Brown
Claudie Absolonová,https://www.fashionmodeldirectory.com/models/claudie_absolonov%c3%a1/,Czech,NA,175.0,82.0,60.0,89.0,33,40,Dark blonde,Blue
Sarah Abt,https://www.fashionmodeldirectory.com/models/sarah_abt/,Canadian,NA,183.0,82.0,61.0,87.0,32-34,41,Brown,Blue
Nicole Abt,https://www.fashionmodeldirectory.com/models/nicole_abt/,Canadian,NA,178.0,84.0,61.0,88.0,32-34,40,Dark blonde,Blue
Mohammed Abubakar,https://www.fashionmodeldirectory.com/models/mohammed_abubakar/,Nigerian,NA,185.0,85.0,67.0,88.0,43,45,Black,Black
Lucien Abulzahab,https://www.fashionmodeldirectory.com/models/lucien_abulzahab/,German,NA,191.0,92.0,75.0,94.0,40-42,46.5,Brown,Brown
Alejandra Aceves,https://www.fashionmodeldirectory.com/models/alejandra_aceves/,Mexican,NA,176.0,83.0,61.0,89.0,32-34,38.5,Dark brown,Green
Diana Achan,https://www.fashionmodeldirectory.com/models/diana_achan/,Sudanese,NA,180.0,73.0,58.0,85.0,32-34,38,Black,Black
Marthe Achilles,https://www.fashionmodeldirectory.com/models/marthe_achilles/,German,1999,182.0,87.0,64.0,92.0,36,41,Blonde,Brown
Levi Achthoven,https://www.fashionmodeldirectory.com/models/levi_achthoven/,Dutch,NA,180.0,75.0,59.0,86.0,34,39,Red / blonde,Blue
Daniela Aciu,https://www.fashionmodeldirectory.com/models/daniela_aciu/,Romanian,"December 5, 1990",182.0,81.0,60.0,86.5,34,41,Brown,Green
Alida Aciu,https://www.fashionmodeldirectory.com/models/alida_aciu/,Romanian,NA,176.0,82.0,63.0,88.0,32-34,38,Brown,Brown
Rarika Acler,https://www.fashionmodeldirectory.com/models/rarika_acler/,Brazilian,December 11 1987,176.5,81.0,61.0,89.0,36,38,Red,Green
Alejandro Acosta,https://www.fashionmodeldirectory.com/models/alejandro_acosta/,Mexican,NA,188.0,99.0,79.0,94.0,50,43,Dark brown,Brown
Alexander Acquah,https://www.fashionmodeldirectory.com/models/alexander_acquah/,Ghanaian,NA,185.0,85.0,74.0,93.0,46,43,Black,Brown
Chantal Adair,https://www.fashionmodeldirectory.com/models/chantal_adair/,American,January 18,175.0,81.0,61.0,86.5,32,40,Dark brown,Brown
Khadija Adam,https://www.fashionmodeldirectory.com/models/khadija_adam/,Kenyan,NA,175.0,86.5,56.0,89.0,38,38.5,Brown,Brown
Karin Adam,https://www.fashionmodeldirectory.com/models/karin_adam/,Brazilian,NA,177.0,81.0,58.5,86.5,32,40,Brown,Blue
Josephine Adam,https://www.fashionmodeldirectory.com/models/josephine_adam/,German,NA,180.0,82.0,60.0,89.0,35,42,Brown,Brown
Vanessa Adamatti,https://www.fashionmodeldirectory.com/models/vanessa_adamatti/,Brazilian,1995,175.0,81.0,60.0,84.0,33,NA,Blonde,Green
Liza Adamenko,https://www.fashionmodeldirectory.com/models/liza_adamenko/,Russian,NA,173.0,84.0,60.0,84.0,30-32,38,Dark brown,Brown
Nilda Adames,https://www.fashionmodeldirectory.com/models/nilda_adames/,Dominican,NA,180.0,81.0,58.0,84.0,32-34,42,Black,Dark brown
Luca Adamik,https://www.fashionmodeldirectory.com/models/luca_adamik/,Hungarian,NA,180.0,84.0,60.0,89.0,32-34,39,Dark blonde,Green
Katerina Adamova,https://www.fashionmodeldirectory.com/models/katerina_adamova/,Czech,August 21 1984,178.0,89.0,61.0,90.0,36,40,Blonde,Blue / grey
Denisa Adamova,https://www.fashionmodeldirectory.com/models/denisa_adamova/,Czech,NA,176.5,91.5,62.0,91.5,36,40,Brown,Brown
Natalia Adamowska,https://www.fashionmodeldirectory.com/models/natalia_adamowska/,Polish,April 23,180.0,86.0,61.0,88.0,36,39,Dark blonde,Blue
Eva Adams,https://www.fashionmodeldirectory.com/models/eva_adams/,American,NA,175.0,83.0,63.0,89.0,32-34,39,Dark brown,Brown
Emilie Adams,https://www.fashionmodeldirectory.com/models/emilie_adams/,American,February 28,178.0,86.0,62.0,88.0,34,39,Blonde,Green
