Megan Abrigo,https://www.fashionmodeldirectory.com/models/megan_abrigo/,American,NA,173.0,87.0,61.0,89.0
Claudie Absolonová,https://www.fashionmodeldirectory.com/models/claudie_absolonov%c3%a1/,Czech,NA,175.0,82.0,60.0,89.0
Nicole Abt,https://www.fashionmodeldirectory.com/models/nicole_abt/,Canadian,NA,178.0,84.0,61.0,88.0
Mohammed Abubakar,https://www.fashionmodeldirectory.com/models/mohammed_abubakar/,Nigerian,NA,185.0,85.0,67.0,88.0
Lucien Abulzahab,https://www.fashionmodeldirectory.com/models/lucien_abulzahab/,German,NA,191.0,92.0,75.0,94.0
Alejandra Aceves,https://www.fashionmodeldirectory.com/models/alejandra_aceves/,Mexican,NA,176.0,83.0,61.0,89.0
Diana Achan,https://www.fashionmodeldirectory.com/models/diana_achan/,Sudanese,NA,180.0,73.0,58.0,85.0
Marthe Achilles,https://www.fashionmodeldirectory.com/models/marthe_achilles/,German,NA,182.0,87.0,64.0,92.0
Levi Achthoven,https://www.fashionmodeldirectory.com/models/levi_achthoven/,Dutch,NA,180.0,75.0,59.0,86.0
Daniela Aciu,https://www.fashionmodeldirectory.com/models/daniela_aciu/,Romanian,NA,182.0,81.0,60.0,86.5
Kim Ackermann,https://www.fashionmodeldirectory.com/models/kim_ackermann/,German,November 1,178.0,81.0,58.5,85.0
Rarika Acler,https://www.fashionmodeldirectory.com/models/rarika_acler/,Brazilian,December 11 1987,176.5,81.0,61.0,89.0
Alejandro Acosta,https://www.fashionmodeldirectory.com/models/alejandro_acosta/,Mexican,NA,188.0,99.0,79.0,94.0
Chantal Adair,https://www.fashionmodeldirectory.com/models/chantal_adair/,American,January 18,175.0,81.0,61.0,86.5
Khadija Adam,https://www.fashionmodeldirectory.com/models/khadija_adam/,Kenyan,NA,175.0,86.5,56.0,89.0
Karin Adam,https://www.fashionmodeldirectory.com/models/karin_adam/,Brazilian,NA,177.0,81.0,58.5,86.5
Josephine Adam,https://www.fashionmodeldirectory.com/models/josephine_adam/,German,NA,180.0,82.0,60.0,89.0
Vanessa Adamatti,https://www.fashionmodeldirectory.com/models/vanessa_adamatti/,Brazilian,1995,175.0,81.0,60.0,84.0
Liza Adamenko,https://www.fashionmodeldirectory.com/models/liza_adamenko/,Russian,NA,173.0,90.0,60.0,90.0
Nilda Adames,https://www.fashionmodeldirectory.com/models/nilda_adames/,Dominican,NA,180.0,81.0,58.0,84.0
Luca Adamik,https://www.fashionmodeldirectory.com/models/luca_adamik/,Hungarian,NA,180.0,84.0,60.0,89.0
Katerina Adamova,https://www.fashionmodeldirectory.com/models/katerina_adamova/,Czech,August 21 1984,178.0,89.0,61.0,90.0
Denisa Adamova,https://www.fashionmodeldirectory.com/models/denisa_adamova/,Czech,NA,176.5,91.5,62.0,91.5
Natalia Adamowska,https://www.fashionmodeldirectory.com/models/natalia_adamowska/,Polish,April 23,180.0,86.0,61.0,88.0
Eva Adams,https://www.fashionmodeldirectory.com/models/eva_adams/,American,NA,175.0,83.0,63.0,89.0
Emilie Adams,https://www.fashionmodeldirectory.com/models/emilie_adams/,American,February 28,178.0,86.0,62.0,88.0
Emma Adams,https://www.fashionmodeldirectory.com/models/emma_adams/,Australian,NA,180.0,91.5,66.0,91.5
Jacki Adams,https://www.fashionmodeldirectory.com/models/jacki_adams/,American,NA,177.0,86.5,73.5,94.0
Izzy Josephine Adams,https://www.fashionmodeldirectory.com/models/izzy+josephine_adams/,American,NA,180.0,91.5,84.0,110.0
Julia Adasheva,https://www.fashionmodeldirectory.com/models/julia_adasheva/,Russian,April 25 1991,175.0,86.0,58.0,89.0
Habsa Adbulkadir,https://www.fashionmodeldirectory.com/models/habsa_adbulkadir/,Danish,NA,173.0,77.0,61.0,87.0
Natane Adcock,https://www.fashionmodeldirectory.com/models/natane_adcock/,American,May 5 1975,175.0,86.5,58.5,86.5
Amal Tobi Adebayo,https://www.fashionmodeldirectory.com/models/amal+tobi_adebayo/,Nigerian,NA,180.0,82.0,61.0,86.0
Karima Adebibe,https://www.fashionmodeldirectory.com/models/karima_adebibe/,British (English),February 14 1985,174.0,84.0,66.0,91.0
Bunmi Ademokoya,https://www.fashionmodeldirectory.com/models/bunmi_ademokoya/,Nigerian,NA,178.0,84.0,58.5,86.5
Halima Aden,https://www.fashionmodeldirectory.com/models/halima_aden/,Somalian,NA,165.0,76.0,58.0,90.0
Ooooota Sebastian Adepo,https://www.fashionmodeldirectory.com/models/ooooota+sebastian_adepo/,Nigerian,NA,177.0,76.0,59.5,84.0
Annemary Aderibigbe,https://www.fashionmodeldirectory.com/models/annemary_aderibigbe/,Dutch,NA,179.0,80.0,61.0,89.5
Betty Adewole,https://www.fashionmodeldirectory.com/models/betty_adewole/,British (English),"January 27, 1991",180.0,86.5,58.5,86.5
Kelvin Adewole,https://www.fashionmodeldirectory.com/models/kelvin_adewole/,Nigerian,NA,187.0,88.0,75.0,87.0
